Index;t;x;y
607,000000000;42,720315224;15,005358637;1,051582839
608,000000000;42,761968021;15,056702330;1,068429381
609,000000000;42,802722988;15,103997125;1,085283046
610,000000000;42,842655643;15,147421332;1,102154297
611,000000000;42,881833982;15,187132140;1,119052831
612,000000000;42,920316668;15,223265750;1,135986408
613,000000000;42,958155659;15,255942176;1,152961607
614,000000000;42,995399508;15,285269516;1,169985045
615,000000000;43,032090893;15,311342938;1,187062051
616,000000000;43,068268500;15,334247503;1,204197299
617,000000000;43,103968548;15,354060008;1,221395372
618,000000000;43,139223350;15,370848896;1,238659938
619,000000000;43,174062880;15,384675972;1,255994359
620,000000000;43,208515874;15,395597306;1,273402154
621,000000000;43,242608694;15,403663206;1,290886341
622,000000000;43,276365587;15,408918940;1,308449475
623,000000000;43,309810709;15,411405426;1,326094627
624,000000000;43,342967259;15,411159103;1,343824901
625,000000000;43,375854681;15,408212499;1,361641856
626,000000000;43,408494577;15,402594352;1,379548625
627,000000000;43,440905242;15,394330197;1,397546920
628,000000000;43,473105143;15,383442288;1,415638869
629,000000000;43,505114682;15,369948602;1,433828014
630,000000000;43,536948045;15,353866394;1,452114643
631,000000000;43,568626370;15,335206414;1,470503266
632,000000000;43,600163859;15,313979847;1,488994615
633,000000000;43,631578227;15,290192836;1,507591637
634,000000000;43,662883729;15,263851115;1,526295391
635,000000000;43,694100788;15,234952126;1,545110749
636,000000000;43,725243527;15,203495527;1,564038930
637,000000000;43,756329593;15,169474675;1,583083349
638,000000000;43,787374892;15,132881584;1,602246413
639,000000000;43,818396677;15,093703656;1,621531374
640,000000000;43,849413007;15,051923901;1,640941986
641,000000000;43,880439400;15,007525590;1,660480365
642,000000000;43,911495310;14,960483302;1,680151018
643,000000000;43,942600675;14,910767029;1,699958665
644,000000000;43,973774254;14,858344952;1,719907125
645,000000000;44,005037813;14,803176494;1,740001945
646,000000000;44,036410597;14,745221675;1,760246801
647,000000000;44,067918633;14,684423983;1,780649441
648,000000000;44,099585617;14,620726519;1,801215748
649,000000000;44,131440508;14,554056972;1,821954589
650,000000000;44,163510689;14,484340930;1,842873283
651,000000000;44,195830760;14,411482672;1,863983230
652,000000000;44,228435237;14,335379988;1,885295035
653,000000000;44,261365990;14,255906449;1,906823214
654,000000000;44,294664906;14,172927606;1,928581224
655,000000000;44,328386164;14,086269615;1,950589255
656,000000000;44,362587381;13,995739020;1,972868164
657,000000000;44,397343080;13,901085176;1,995447866
658,000000000;44,432735152;13,802022043;2,018360613
659,000000000;44,468862903;13,698197615;2,041646863
660,000000000;44,505857425;13,589146318;2,065363562
661,000000000;44,543879694;13,474285460;2,089581477
662,000000000;44,583147185;13,352824146;2,114400071
663,000000000;44,623959476;13,223665140;2,139960240
664,000000000;44,666770439;13,085145281;2,166483551
665,000000000;44,712309410;12,934584565;2,194335687
666,000000000;44,761960087;12,766909100;2,224232133
667,000000000;44,819213936;12,569371451;2,258032440
668,000000000;44,879095760;12,358449116;2,292531530
669,000000000;44,930256582;12,175145586;2,321252045
670,000000000;44,981804298;11,987929151;2,349431421
671,000000000;45,028847500;11,815152173;2,374440965
672,000000000;45,073130238;11,651082505;2,397331818
673,000000000;45,115632530;11,492511122;2,418680385
674,000000000;45,156870758;11,337811308;2,438787843
675,000000000;45,197165068;11,186016501;2,457837455
676,000000000;45,236736974;11,036486353;2,475952095
677,000000000;45,275751328;10,888765118;2,493219184
678,000000000;45,314331767;10,742532972;2,509700934
679,000000000;45,352581405;10,597533747;2,525445465
680,000000000;45,390589171;10,453554926;2,540490547
681,000000000;45,428422420;10,310458508;2,554861711
682,000000000;45,466150807;10,168092723;2,568582269
683,000000000;45,503827498;10,026364702;2,581666589
684,000000000;45,541510451;9,885161540;2,594128173
685,000000000;45,579245817;9,744413827;2,605974075
686,000000000;45,617084527;9,604034479;2,617210587
687,000000000;45,655069093;9,463968823;2,627839177
688,000000000;45,693244963;9,324153171;2,637860030
689,000000000;45,731659487;9,184519815;2,647271508
690,000000000;45,770355058;9,045022778;2,656068438
691,000000000;45,809380700;8,905596649;2,664244851
692,000000000;45,848785517;8,766181506;2,671792179
693,000000000;45,888622452;8,626710642;2,678699847
694,000000000;45,928945579;8,487121407;2,684954535
695,000000000;45,969813251;8,347345524;2,690540481
696,000000000;46,011294091;8,207290736;2,695439762
697,000000000;46,053462240;8,066859717;2,699630935
698,000000000;46,096401859;7,925937755;2,703088881
699,000000000;46,140209092;7,784390076;2,705784011
700,000000000;46,184996136;7,642053444;2,707681323
701,000000000;46,230898141;7,498720753;2,708739035
702,000000000;46,278081409;7,354124588;2,708906400
703,000000000;46,326752950;7,207920645;2,708120517
704,000000000;46,377184699;7,059633386;2,706301289
705,000000000;46,429741989;6,908601254;2,703343106
706,000000000;46,483312459;6,758365577;2,699241827
707,000000000;46,537802115;6,609409145;2,693978260
708,000000000;46,593313333;6,461666224;2,687519650
